10/2/2014,,,,,,,,,,,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,code,,,,,,,,,
Aedes albopictus,,2,2,,2,,,,,,2,,,,,,,,,
A. aegypti,,,,,,,,,,,3,,,,,,,,,
A. vexans,,,,,,,,,,,1,,,,,,,,,
Ochlerotatus atlanticus,,,,,,,,,,,9,,,,,,,,,
O. dupreei,,,,,,,,,,,18,,,,,,,,,
O. fulvus pallens,,,,,,,,,,,8,,,,,,,,,
O. infirmatus,,,12,,,6,,,,12,7,,,,,,,,,
O.  mitchellae,,,,,,,,,,,6,,,,,,,,,
O. sollicitans,,,,,,,,,,,15,,,,,,,,,
O.  taeniorhynchus,,,,,,,,,,,5,,,,,,,,,
O.  triseriatus,,,,,,,,,,,14,,,,,,,,,
Anopheles crucians,,,8,,,2,,208,24,56,34,,,,,,,,,
A. quadrimaculatus,,,,,,,,,,8,31,,,,,,,,,
Culex  erraticus,,,,,,,,,,,25,,,,,,,,,
C. nigripalpus,26,80,68,,,66,1,336,328,96,42,,,,,,,,,
C.  quinquefasciatus,,,,,,,,,,,27,,,,,,,,,
C. restuans,,,,,,,,,,,21,,,,,,,,,
C.  salinarius,,,,,,,,,,,23,,,,,,,,,
Culiseta  inornata,,,,,,,,,,,40,,,,,,,,,
Culiseta  melanura,,,,,,,,,,,41,,,,,,,,,
Coquillettidia  perturbans,3,,8,,,4,2,128,24,24,60,,,,,,,,,
Mansonia  titillans,,,,,,,,,,,47,,,,,,,,,
M. dyari,2,36,4,,2,12,8,288,72,16,48,,,,,,,,,
Psorophora  ciliata,,,,,,,,,,,51,,,,,,,,,
P. columbiae,4,16,10,,,4,,,32,,50,,,,,,,,,
P. ferox,,,,,,,,,,12,52,,,,,,,,,
P. howardii,,,,,,,,,,,54,,,,,,,,,
Toxorhynchites rutilus,,,,,,,,,,,88,,,,,,,,,
Uranotaenia  sapphirina,7,40,18,,3,10,2,256,56,44,70,,,,,,,,,
U.  lowii,,,,,1,,,,,,71,,,,,,,,,
Wyeomyia  mitchellii,,,,,,,,,,,80,,,,,,,,,
W.  vanduzeei,,,,,,,,,,,82,,,,,,,,,
Other*,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
