10/21/2014,,,,,,,,,,,,,,,,,,,,
mosquito,site1,site2,site3,site4,site5,site6,site7,site8,site9,site10,code,,,,,,,,,
Aedes albopictus,,,3,,3,,,,,,2,,,,,,,,,
A. aegypti,,,,,,,,,,,3,,,,,,,,,
A. vexans,,,,,,,,,,,1,,,,,,,,,
Ochlerotatus atlanticus,,,,,,,,,,,9,,,,,,,,,
O. dupreei,,,,,,,,,,,18,,,,,,,,,
O. fulvus pallens,,,,,,,,,,,8,,,,,,,,,
O. infirmatus,1,,4,,3,312,1,,,21,7,,,,,,,,,
O.  mitchellae,,,,,,,,,,,6,,,,,,,,,
O. sollicitans,,,,,,,,,,,15,,,,,,,,,
O.  taeniorhynchus,,,,,,,,,,,5,,,,,,,,,
O.  triseriatus,,,,,,,,,,,14,,,,,,,,,
Anopheles crucians,,2,,,,8,1,128,,29,34,,,,,,,,,
A. quadrimaculatus,,,,,,,1,4,,,31,,,,,,,,,
Culex  erraticus,,8,,,,,,,,,25,,,,,,,,,
C. nigripalpus,1,87,5,,,104,60,84,104,145,42,,,,,,,,,
C.  quinquefasciatus,,,,,,,,,,,27,,,,,,,,,
C. restuans,,,,,,,,,,,21,,,,,,,,,
C.  salinarius,,,,,,,,,,,23,,,,,,,,,
Culiseta  inornata,,,,,,,,,,,40,,,,,,,,,
Culiseta  melanura,,,,,,,4,,,2,41,,,,,,,,,
Coquillettidia  perturbans,,2,,,,,2,56,1,15,60,,,,,,,,,
Mansonia  titillans,,,,,,,,,,,47,,,,,,,,,
M. dyari,,6,1,,,,10,60,1,8,48,,,,,,,,,
Psorophora  ciliata,,,,,,,,,,,51,,,,,,,,,
P. columbiae,1,5,4,,,16,,8,,29,50,,,,,,,,,
P. ferox,,,,,,56,,,,10,52,,,,,,,,,
P. howardii,,,,,,,,,,,54,,,,,,,,,
Toxorhynchites rutilus,,,,,,,,,,,88,,,,,,,,,
Uranotaenia  sapphirina,,4,,,,32,17,12,9,10,70,,,,,,,,,
U.  lowii,,,,,,,,,,,71,,,,,,,,,
Wyeomyia  mitchellii,,,,,,,,,,,80,,,,,,,,,
W.  vanduzeei,,,,,,,,,,,82,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
